a              b              GF_product_p                  GF_product_t                                      
74             166            12.159347534179688            2.6226043701171875                                
143            91             9.5367431640625               0.95367431640625                                  
3              103            8.821487426757812             0.95367431640625                                  
96             1              2.6226043701171875            0.7152557373046875                                
227            205            10.251998901367188            0.95367431640625                                  
129            57             8.106231689453125             0.95367431640625                                  
220            255            14.30511474609375             0.7152557373046875                                
81             7              4.5299530029296875            0.95367431640625                                  
20             57             7.62939453125                 0.95367431640625                                  
207            223            12.636184692382812            0.95367431640625                                  
74             210            9.775161743164062             0.7152557373046875                                
221            58             8.58306884765625              0.95367431640625                                  
24             56             7.3909759521484375            0.95367431640625                                  
189            130            6.198883056640625             0.7152557373046875                                
213            81             7.152557373046875             0.7152557373046875                                
229            128            5.245208740234375             0.7152557373046875                                
105            180            10.013580322265625            0.7152557373046875                                
5              220            10.728836059570312            0.7152557373046875                                
241            228            10.728836059570312            0.7152557373046875                                
205            14             5.9604644775390625            0.95367431640625                                  
226            118            10.251998901367188            0.7152557373046875                                
250            98             7.3909759521484375            0.95367431640625                                  
211            217            10.49041748046875             0.7152557373046875                                
187            4              3.5762786865234375            0.7152557373046875                                
62             160            7.3909759521484375            0.7152557373046875                                
171            146            7.8678131103515625            0.7152557373046875                                
248            1              2.384185791015625             0.95367431640625                                  
11             13             5.4836273193359375            0.95367431640625                                  
109            150            8.58306884765625              0.7152557373046875                                
218            227            10.251998901367188            0.7152557373046875                                
191            235            11.682510375976562            0.7152557373046875                                
229            253            13.589859008789062            0.95367431640625                                  
199            86             8.344650268554688             0.95367431640625                                  
125            92             9.298324584960938             0.7152557373046875                                
118            27             6.9141387939453125            0.7152557373046875                                
164            86             8.344650268554688             0.7152557373046875                                
76             76             7.152557373046875             0.7152557373046875                                
109            34             5.245208740234375             0.7152557373046875                                
45             34             5.245208740234375             0.7152557373046875                                
115            159            10.251998901367188            0.7152557373046875                                
226            122            10.49041748046875             0.7152557373046875                                
88             67             6.198883056640625             0.7152557373046875                                
127            42             6.67572021484375              0.7152557373046875                                
61             166            9.059906005859375             0.7152557373046875                                
158            235            11.920928955078125            0.7152557373046875                                
157            34             5.4836273193359375            0.7152557373046875                                
30             2              3.0994415283203125            0.7152557373046875                                
220            118            10.251998901367188            0.95367431640625                                  
198            241            11.205673217773438            0.7152557373046875                                
204            8              3.814697265625                0.7152557373046875                                
247            65             5.245208740234375             0.7152557373046875                                
9              17             4.5299530029296875            0.7152557373046875                                
153            241            10.967254638671875            0.7152557373046875                                
123            203            10.013580322265625            0.95367431640625                                  
253            141            8.106231689453125             0.7152557373046875                                
121            183            10.728836059570312            0.95367431640625                                  
223            111            10.251998901367188            0.7152557373046875                                
104            83             7.62939453125                 0.7152557373046875                                
136            239            12.636184692382812            0.7152557373046875                                
243            45             7.3909759521484375            0.95367431640625                                  
91             61             9.059906005859375             0.7152557373046875                                
70             58             8.344650268554688             0.7152557373046875                                
86             32             4.5299530029296875            0.95367431640625                                  
156            22             6.198883056640625             0.95367431640625                                  
117            115            9.5367431640625               0.7152557373046875                                
95             37             5.9604644775390625            0.7152557373046875                                
227            106            8.821487426757812             0.95367431640625                                  
155            59             8.58306884765625              0.7152557373046875                                
203            0              0.476837158203125             0.2384185791015625                                
20             21             5.7220458984375               0.7152557373046875                                
11             103            8.58306884765625              0.7152557373046875                                
159            128            5.4836273193359375            0.7152557373046875                                
211            194            8.344650268554688             0.7152557373046875                                
254            147            8.106231689453125             0.7152557373046875                                
73             93             9.298324584960938             0.7152557373046875                                
139            202            9.5367431640625               0.95367431640625                                  
189            175            10.49041748046875             0.95367431640625                                  
57             104            8.106231689453125             0.95367431640625                                  
252            100            8.106231689453125             0.95367431640625                                  
226            83             7.3909759521484375            0.7152557373046875                                
245            112            8.821487426757812             0.7152557373046875                                
72             184            10.251998901367188            0.7152557373046875                                
251            238            12.39776611328125             0.95367431640625                                  
254            129            5.4836273193359375            0.7152557373046875                                
40             102            8.58306884765625              0.7152557373046875                                
239            222            11.920928955078125            0.7152557373046875                                
62             85             7.8678131103515625            0.7152557373046875                                
207            61             8.821487426757812             0.7152557373046875                                
226            35             5.4836273193359375            0.7152557373046875                                
223            88             7.8678131103515625            0.7152557373046875                                
217            175            10.49041748046875             0.7152557373046875                                
91             108            9.298324584960938             0.95367431640625                                  
159            252            13.113021850585938            0.7152557373046875                                
91             136            6.4373016357421875            0.7152557373046875                                
233            207            10.728836059570312            0.7152557373046875                                
34             73             6.67572021484375              0.7152557373046875                                
35             156            9.059906005859375             0.7152557373046875                                
136            56             7.62939453125                 0.7152557373046875                                
163            154            9.059906005859375             0.7152557373046875                                
138            105            8.344650268554688             0.7152557373046875                                
249            149            8.106231689453125             0.95367431640625                                  
33             154            8.821487426757812             0.7152557373046875                                
76             74             6.9141387939453125            0.95367431640625                                  
72             238            12.39776611328125             0.7152557373046875                                
62             188            11.205673217773438            0.7152557373046875                                
90             114            9.059906005859375             0.7152557373046875                                
99             59             8.58306884765625              0.95367431640625                                  
96             210            9.5367431640625               0.7152557373046875                                
148            236            17.404556274414062            0.95367431640625                                  
160            94             9.775161743164062             0.7152557373046875                                
187            74             7.152557373046875             0.95367431640625                                  
43             61             8.821487426757812             0.95367431640625                                  
150            5              3.814697265625                0.95367431640625                                  
95             0              0.2384185791015625            0.476837158203125                                 
92             32             4.5299530029296875            0.7152557373046875                                
192            202            9.775161743164062             0.7152557373046875                                
226            245            12.39776611328125             0.95367431640625                                  
188            32             4.5299530029296875            0.7152557373046875                                
133            202            9.298324584960938             0.95367431640625                                  
213            71             7.152557373046875             0.7152557373046875                                
116            227            10.49041748046875             0.7152557373046875                                
231            143            8.58306884765625              0.7152557373046875                                
255            192            7.3909759521484375            0.7152557373046875                                
4              133            6.4373016357421875            0.95367431640625                                  
135            0              0.476837158203125             0.2384185791015625                                
207            118            10.251998901367188            0.7152557373046875                                
226            230            11.205673217773438            0.7152557373046875                                
157            126            11.205673217773438            0.95367431640625                                  
91             192            7.3909759521484375            0.95367431640625                                  
51             91             9.059906005859375             0.7152557373046875                                
230            223            12.636184692382812            0.7152557373046875                                
145            254            14.066696166992188            0.7152557373046875                                
238            187            11.205673217773438            0.7152557373046875                                
110            110            10.013580322265625            0.7152557373046875                                
23             76             7.152557373046875             0.95367431640625                                  
197            208            9.059906005859375             0.95367431640625                                  
158            10             5.0067901611328125            0.7152557373046875                                
183            74             6.9141387939453125            0.7152557373046875                                
26             91             8.821487426757812             0.7152557373046875                                
132            149            7.8678131103515625            0.7152557373046875                                
67             61             8.821487426757812             0.7152557373046875                                
236            51             7.3909759521484375            0.7152557373046875                                
208            26             6.198883056640625             0.7152557373046875                                
61             243            12.159347534179688            0.7152557373046875                                
78             77             7.62939453125                 0.7152557373046875                                
81             170            8.821487426757812             0.7152557373046875                                
151            211            9.775161743164062             0.7152557373046875                                
148            18             5.4836273193359375            0.95367431640625                                  
1              14             5.7220458984375               0.95367431640625                                  
218            253            13.3514404296875              0.95367431640625                                  
178            57             8.106231689453125             0.95367431640625                                  
135            189            11.205673217773438            0.7152557373046875                                
73             115            9.298324584960938             0.7152557373046875                                
73             143            8.58306884765625              0.7152557373046875                                
75             211            9.775161743164062             0.7152557373046875                                
87             82             7.152557373046875             0.95367431640625                                  
192            196            8.344650268554688             0.7152557373046875                                
34             139            7.62939453125                 0.7152557373046875                                
14             142            8.106231689453125             0.7152557373046875                                
191            189            11.444091796875               0.7152557373046875                                
77             35             5.4836273193359375            0.7152557373046875                                
112            74             7.152557373046875             0.7152557373046875                                
79             191            12.159347534179688            0.95367431640625                                  
152            64             5.0067901611328125            0.7152557373046875                                
19             34             5.245208740234375             0.7152557373046875                                
160            98             7.62939453125                 0.7152557373046875                                
47             148            7.62939453125                 0.95367431640625                                  
160            89             8.106231689453125             0.7152557373046875                                
184            190            11.920928955078125            0.7152557373046875                                
212            73             6.67572021484375              0.7152557373046875                                
236            95             10.013580322265625            0.7152557373046875                                
85             191            12.159347534179688            0.7152557373046875                                
240            64             4.76837158203125              0.7152557373046875                                
71             192            7.3909759521484375            0.7152557373046875                                
104            175            10.49041748046875             0.7152557373046875                                
239            220            11.444091796875               0.7152557373046875                                
66             146            7.3909759521484375            0.95367431640625                                  
208            127            11.682510375976562            0.7152557373046875                                
219            216            10.49041748046875             0.7152557373046875                                
59             157            9.5367431640625               0.7152557373046875                                
173            194            7.8678131103515625            0.7152557373046875                                
76             235            11.444091796875               0.7152557373046875                                
81             64             4.76837158203125              0.95367431640625                                  
158            236            11.444091796875               0.7152557373046875                                
231            224            9.5367431640625               0.7152557373046875                                
0              140            0.476837158203125             0.2384185791015625                                
162            10             4.76837158203125              0.7152557373046875                                
234            10             4.76837158203125              0.7152557373046875                                
8              47             8.106231689453125             0.7152557373046875                                
195            231            11.205673217773438            0.7152557373046875                                
119            42             6.4373016357421875            0.7152557373046875                                
106            121            10.251998901367188            0.7152557373046875                                
171            75             7.152557373046875             0.7152557373046875                                
98             212            10.251998901367188            0.7152557373046875                                
58             81             6.9141387939453125            0.95367431640625                                  
146            27             6.4373016357421875            0.95367431640625                                  
255            228            10.49041748046875             0.7152557373046875                                
74             75             7.152557373046875             0.7152557373046875                                
158            158            10.251998901367188            0.7152557373046875                                
222            94             9.775161743164062             0.95367431640625                                  
153            151            9.059906005859375             0.7152557373046875                                
218            201            9.059906005859375             0.95367431640625                                  
97             128            5.245208740234375             0.7152557373046875                                
192            28             6.4373016357421875            0.7152557373046875                                
224            73             6.4373016357421875            0.7152557373046875                                
238            7              4.5299530029296875            0.7152557373046875                                
93             148            7.62939453125                 0.7152557373046875                                
204            146            7.3909759521484375            0.7152557373046875                                
26             178            9.059906005859375             0.7152557373046875                                
65             120            9.298324584960938             0.7152557373046875                                
238            81             6.67572021484375              0.7152557373046875                                
92             63             9.298324584960938             0.7152557373046875                                
108            31             7.3909759521484375            0.95367431640625                                  
83             8              3.814697265625                0.7152557373046875                                
204            196            8.344650268554688             0.7152557373046875                                
173            228            10.013580322265625            0.7152557373046875                                
40             63             9.298324584960938             0.7152557373046875                                
46             36             5.4836273193359375            0.7152557373046875                                
211            188            10.728836059570312            0.7152557373046875                                
123            101            8.344650268554688             0.95367431640625                                  
94             208            8.344650268554688             0.7152557373046875                                
157            217            11.205673217773438            0.95367431640625                                  
50             79             8.106231689453125             0.7152557373046875                                
16             203            9.5367431640625               0.95367431640625                                  
162            70             6.9141387939453125            0.95367431640625                                  
237            8              4.0531158447265625            0.7152557373046875                                
226            150            8.821487426757812             0.7152557373046875                                
244            172            9.5367431640625               0.7152557373046875                                
104            163            8.344650268554688             0.7152557373046875                                
40             29             6.9141387939453125            0.7152557373046875                                
83             10             4.5299530029296875            0.7152557373046875                                
195            140            7.8678131103515625            0.7152557373046875                                
142            102            8.58306884765625              0.95367431640625                                  
79             131            6.198883056640625             0.7152557373046875                                
178            110            10.251998901367188            0.476837158203125                                 
14             147            7.8678131103515625            0.95367431640625                                  
52             70             6.67572021484375              0.7152557373046875                                
252            20             5.245208740234375             0.7152557373046875                                
46             212            10.013580322265625            0.7152557373046875                                
222            12             5.0067901611328125            0.7152557373046875                                
143            6              4.291534423828125             0.95367431640625                                  
48             218            10.728836059570312            0.95367431640625                                  
203            42             6.67572021484375              0.95367431640625                                  
115            92             9.298324584960938             0.7152557373046875                                
250            62             17.1661376953125              0.7152557373046875                                
251            196            8.58306884765625              0.7152557373046875                                
207            158            10.013580322265625            0.95367431640625                                  
112            164            8.344650268554688             0.7152557373046875                                
255            135            7.3909759521484375            0.7152557373046875                                
110            85             8.106231689453125             0.7152557373046875                                
34             178            9.298324584960938             0.7152557373046875                                
94             166            9.059906005859375             0.7152557373046875                                
202            187            10.728836059570312            0.95367431640625                                  
227            134            7.152557373046875             0.7152557373046875                                
69             255            13.828277587890625            0.7152557373046875                                
212            19             5.4836273193359375            0.7152557373046875                                
147            234            11.444091796875               0.7152557373046875                                
189            3              3.5762786865234375            0.476837158203125                                 
56             159            9.775161743164062             0.7152557373046875                                
105            135            7.62939453125                 0.7152557373046875                                
53             137            6.67572021484375              0.7152557373046875                                
190            251            13.3514404296875              0.7152557373046875                                
95             61             8.58306884765625              0.7152557373046875                                
196            160            7.3909759521484375            0.7152557373046875                                
19             119            10.013580322265625            0.7152557373046875                                
60             201            9.5367431640625               0.7152557373046875                                
80             177            8.58306884765625              0.95367431640625                                  
23             46             7.62939453125                 0.7152557373046875                                
138            52             7.152557373046875             0.95367431640625                                  
68             10             4.76837158203125              0.7152557373046875                                
66             111            9.775161743164062             0.7152557373046875                                
66             10             4.76837158203125              0.7152557373046875                                
221            126            11.205673217773438            0.7152557373046875                                
130            246            12.874603271484375            0.7152557373046875                                
210            79             8.344650268554688             0.7152557373046875                                
61             219            11.682510375976562            0.7152557373046875                                
119            244            11.682510375976562            0.7152557373046875                                
36             224            9.298324584960938             0.7152557373046875                                
150            177            8.821487426757812             0.7152557373046875                                
214            109            9.775161743164062             0.7152557373046875                                
35             213            9.775161743164062             0.7152557373046875                                
57             10             4.5299530029296875            0.95367431640625                                  
107            175            10.251998901367188            0.7152557373046875                                
81             28             6.67572021484375              0.95367431640625                                  
41             145            6.9141387939453125            0.95367431640625                                  
0              97             0.476837158203125             0.2384185791015625                                
213            45             7.152557373046875             0.7152557373046875                                
81             157            9.5367431640625               0.7152557373046875                                
28             213            10.013580322265625            0.95367431640625                                  
36             112            8.58306884765625              0.7152557373046875                                
37             124            10.251998901367188            0.7152557373046875                                
235            115            9.775161743164062             0.7152557373046875                                
183            178            9.298324584960938             0.7152557373046875                                
38             240            10.967254638671875            0.7152557373046875                                
112            56             7.3909759521484375            0.95367431640625                                  
233            35             6.4373016357421875            0.95367431640625                                  
69             253            12.874603271484375            0.7152557373046875                                
175            55             8.58306884765625              0.7152557373046875                                
49             79             8.106231689453125             0.7152557373046875                                
152            217            10.967254638671875            0.7152557373046875                                
3              115            8.58306884765625              0.7152557373046875                                
194            189            11.444091796875               0.7152557373046875                                
104            129            5.4836273193359375            0.7152557373046875                                
196            185            10.728836059570312            0.476837158203125                                 
196            193            7.62939453125                 0.7152557373046875                                
91             175            10.49041748046875             0.7152557373046875                                
210            168            8.344650268554688             0.7152557373046875                                
255            83             7.62939453125                 0.7152557373046875                                
13             213            10.013580322265625            0.7152557373046875                                
96             123            10.728836059570312            0.95367431640625                                  
189            48             5.9604644775390625            0.7152557373046875                                
232            140            8.106231689453125             0.7152557373046875                                
37             71             6.9141387939453125            0.7152557373046875                                
247            116            10.013580322265625            0.7152557373046875                                
52             54             7.8678131103515625            0.7152557373046875                                
160            227            10.49041748046875             0.95367431640625                                  
103            82             7.3909759521484375            0.7152557373046875                                
136            24             5.7220458984375               0.7152557373046875                                
224            70             6.67572021484375              0.7152557373046875                                
163            190            12.159347534179688            0.7152557373046875                                
155            165            8.344650268554688             0.7152557373046875                                
205            90             9.059906005859375             0.7152557373046875                                
182            158            9.775161743164062             0.7152557373046875                                
74             92             9.059906005859375             0.7152557373046875                                
177            153            8.58306884765625              0.7152557373046875                                
88             129            5.7220458984375               0.95367431640625                                  
23             132            6.198883056640625             0.7152557373046875                                
47             69             6.4373016357421875            0.95367431640625                                  
46             240            18.11981201171875             0.7152557373046875                                
164            116            9.775161743164062             0.7152557373046875                                
95             207            10.251998901367188            0.7152557373046875                                
39             15             6.198883056640625             0.7152557373046875                                
224            125            10.728836059570312            0.476837158203125                                 
242            17             4.76837158203125              0.7152557373046875                                
25             3              3.5762786865234375            0.7152557373046875                                
106            224            9.5367431640625               0.7152557373046875                                
58             183            18.11981201171875             0.95367431640625                                  
181            22             13.828277587890625            0.7152557373046875                                
73             23             6.198883056640625             0.7152557373046875                                
54             1              2.6226043701171875            0.95367431640625                                  
53             10             4.5299530029296875            0.7152557373046875                                
79             216            10.728836059570312            0.7152557373046875                                
55             215            10.728836059570312            0.7152557373046875                                
147            137            7.152557373046875             0.7152557373046875                                
110            146            7.3909759521484375            0.7152557373046875                                
103            167            9.298324584960938             0.7152557373046875                                
231            11             5.0067901611328125            0.7152557373046875                                
141            219            11.444091796875               0.7152557373046875                                
157            215            10.49041748046875             0.7152557373046875                                
15             37             5.9604644775390625            0.7152557373046875                                
96             103            8.58306884765625              0.7152557373046875                                
160            173            9.775161743164062             0.7152557373046875                                
8              242            10.967254638671875            0.95367431640625                                  
209            7              4.76837158203125              0.7152557373046875                                
98             146            7.3909759521484375            0.7152557373046875                                
24             112            8.344650268554688             0.7152557373046875                                
139            120            8.821487426757812             0.95367431640625                                  
225            166            9.059906005859375             0.7152557373046875                                
187            25             5.9604644775390625            0.7152557373046875                                
127            41             6.4373016357421875            0.95367431640625                                  
