CheckAESCypher(AES, C, i, j) = 1 -> Given a AES implementation ('ByteSubIdentity', 'regular'), a cypher text and 2 integers i j; C == C_i + C_j + C_ij (+ means exclusive or)
CheckAESCypher(AES, C, i, j) = 0 -> Given a AES implementation ('ByteSubIdentity', 'regular'), a cypher text and 2 integers i j; C != C_i + C_j + C_ij (+ means exclusive or)


text                                    key                                     i       j       CheckAESCypher('regular', C, i, j)      CheckAESCypher('ByteSubIdentity', C, i, j)
sH06fMPdD3CMs                           roL0yXX1xMn6WFM6CE9YvYs3QwP04r8b        0       0       1                                       1                                       
8TJ7twU8HebCXET2mwuEm4l9                RqL5lNr62F4frxM2086dpQRTntnBjASs        0       1       0                                       1                                       
S6hohQ2ff2i8kLguewRRRPtmJ               APVUuOXhGMWFIX6eQNheilTe1hOWmAPu        0       2       0                                       1                                       
UOMe3cWY8NZhyuN0iUUGIC0DIT54Ifc         cZLRBfoyu6NJ9ZivSIepKhqy7xtfpdH9        0       3       0                                       1                                       
u04WFMrkFrBRPl2udRCC1                   TGCfx6HOL51xQSrUpv7S31ybrNcnL2XW        0       4       0                                       1                                       
saeQt4evFmfW8AjLY                       KB65fJFziBe1Ialp5R5zAMJXJ5l7FNBR        0       5       0                                       1                                       
pgg4CVqOATXFnAOhXPoimz                  yZSQv1YjuqlEthys6TAv141h153Lvitj        0       6       0                                       1                                       
CeLTKdGCOF3Twtev                        YwYOXJbfdDYhJba7aDkao1dPmnYSVH07        0       7       0                                       1                                       
KQJm3pK1                                AII4WDAorCXxXYd1bqTY47mQafwmgvRm        0       8       0                                       1                                       
U3pAEXokVoY1HqMogPqa4pcUyZBi0           svqFCmzTvBCxQyfIodmlokI3UZpwumQp        0       9       0                                       1                                       
P                                       ZZJYfabsRlLWfiJMap5lftO4sF4i4x72        0       10      0                                       1                                       
wwy                                     KXwoWEZuCfbbsSSMNk1h8zhldkhLBXL0        0       11      0                                       1                                       
CeXWJYgyB8wyxtwWK62HOJ                  RlZ3VDrvVG4z6lZDzQHmhVtlHplfPpPq        0       12      0                                       1                                       
D0abKsx5YS5F6H3k7jYELSskAO              jKkS1EgtiQKUTRMebewtZ1uWcXNFeo5B        0       13      0                                       1                                       
FlSsihT69A9P7XYJgLlDSD8                 503zmWakfULSgsvQl2POqVqZsiWmnUaq        0       14      0                                       1                                       
xl97FBT2                                cMQxXr9vChGKwuK6YQZj7PmlF9zp0RPQ        0       15      0                                       1                                       
fAH                                     mHV9FEf45C3UA34ksAp17zdZzfCYC14n        0       16      0                                       1                                       
23w2f2m9W2G0LaWwOvzQ88BeNFNhN           sUML9ZGJtAEdvA7hXlypPT9zjn4f7u1B        0       17      0                                       1                                       
3gueIOFbBntKHCJE21vr4jFs                hevzAcpT1Itxc8TFrTIt9PnKPS39dUx5        0       18      0                                       1                                       
53uklkp2                                Y86763ykwzxS7NL9PkeQoU61RMyZiy6D        0       19      0                                       1                                       
y600FmvGTg60fuCpW288l5gft               OOCZtnKueVFxUVVFbhOZugky7HkJcB8I        0       20      0                                       1                                       
NkvR0mqmnEjTeiqOx8M1ULpXEH8             7Qtd45RFEgMXmkDQ2O2GiPwksmwI6t0e        0       21      0                                       1                                       
puTHgkTRZt                              WgBMXp08nNUiaPYx6JSgBpbAIKZQ0Dgi        0       22      0                                       1                                       
A2jZYe7CDzAPzB9d03S9AC0yNn7vnq7o        GnIPqeV1xT2G6DJIjAHIQAFMlodbshnq        0       23      0                                       1                                       
7nVXhbu8o6RU94cnKBBQ2BRBN3lIW6s         GlZQRv8YjoNvhDqzOX9Nrjt5FditCe8C        0       24      0                                       1                                       
0z3XJJErJ                               dwCPhs3kKqTHPTe6J1DRkp9T5POaRcib        0       25      0                                       1                                       
J2bEw4f4Tx4ID8dNGNopicBQ1r              Mk4PFMUP5qIYGKTcTvNJhy2hRl57kjq8        0       26      0                                       1                                       
eIoKrnGjLHrnUIHoknasnZ0kQTThu           SBLECS9IKmVv6QmqmYedKabcqWmUs0FY        0       27      0                                       1                                       
wwLECKeDIL1QXIYs7v1dhFK6sxPSx           dbh1tYGMDV9RFUG5yRRPgXEOWyXNxcyl        0       28      0                                       1                                       
iQpPDhDQXz2SI8SLOjr9qZyZc               VKmCXj53mXrPZwIzxc3E0uT02pn2yhow        0       29      0                                       1                                       
nJzGnVcjjU7P977z04OxAqnBTz              EtCIZJgxd51kmSgQkZv06NFsFadIxC0O        0       30      0                                       1                                       
F5C                                     ujeP2Tgt8vbnb0nvr3VdJdfPzsDl1nzq        0       31      0                                       1                                       
NgpKhkl7MPAIoyu6kK                      rKMgEHjhtVAsQ6hHkPith7ZTpLxs0tO1        1       0       0                                       1                                       
To                                      R6Hp1bUsWHMQW6ONS18HNkTzXWtTdklq        1       1       1                                       1                                       
khohPFwn5oiOdQ0zjHJCcLiwhq              uhNjnFIxCK7pdaf0CVIXc7JMp0xpmDeu        1       2       0                                       1                                       
3glB7s1YYYPhe2LXGDbthxMw                7T6Tw6DqzdKD0qERR3WvLWqm9calSFDA        1       3       0                                       1                                       
5IXNwDUWN9C6                            MvPzterIQd696sj3dwJJWhjDlHAgYK45        1       4       0                                       1                                       
3d7LN4WVA5KtGP6JPxg2HsWMVS              kU5gAUx6IYCfCcj8vNFN9gTvUgIQYKWG        1       5       0                                       1                                       
Ff00616WuFt                             Yb44JpAcYHRB2RW0T9tbWW7LCh5E59xY        1       6       0                                       1                                       
tWbrJASAwzkpZkMr3                       1hpOvwXj8jLFDrVwcgZ6R6bnJ7oFAV6U        1       7       0                                       1                                       
c06Fon6svmF02eBjkReNn7k72Dy             urkZcPC7CpOb0jcAK3J5nPK5pOES1MR2        1       8       0                                       1                                       
ImzozRW                                 zuor0F9bBnUV1wl3nNYhgiz3dpBFYo4b        1       9       0                                       1                                       
M4nmbVkOzQ                              FOyiygtkchylryadZe1IWgSZuNr2fZze        1       10      0                                       1                                       
2NPVCn5M0jdTL3DD8qJkGW1zBwsuVua         OId716Jk3y95qnxr6jujKpeUBfJb4WWR        1       11      0                                       1                                       
cKahgeqohRhEQE39DteYY7WtA7qG            JfEWhEhiVBl5kgiqbx1O7Jka1mSDM0zX        1       12      0                                       1                                       
BfHBNlMYg3tb8qBGBxGa4i                  cR8xejSOm2pIXmD9Tx7AHzVNcqlOnJhW        1       13      0                                       1                                       
rM0GnA1AeRr91Gb                         zPWWA5fJS6cbaCm40gIjRAs4hh7EYhck        1       14      0                                       1                                       
2vSnuUGk5aQyXlH9lSQrYSv2txG             82WUa29UUgY75e3xsyRCefx5aT6oEIqB        1       15      0                                       1                                       
ygwFwo1                                 htfSZ500FdoUNQtgR5h6s3dLsdTI27zl        1       16      0                                       1                                       
JE8Q                                    SBTylyqmN52ScJbAChSIZq2ITAMHldiD        1       17      0                                       1                                       
5ZglCyOWkIf50fNvXeySd9Z                 DTrGdshhfPGjaolJ8A2WTegzcmXpFVCO        1       18      0                                       1                                       
vULMKog1TBfPL                           eBcayheYjWJWC1DSasotfabP8TaYjONK        1       19      0                                       1                                       
UupcijchlSERIXV5pJ1zIaQ                 QzWTA5kLtY3zU5NLHW13ip1wIeCVFKh9        1       20      0                                       1                                       
dMyQ8DtWuTTsz6                          f3EXkjDqE60UnT1e8dT2FT315SWdzLl3        1       21      0                                       1                                       
RMWm                                    XpcNQmitalrn3d4eivMSuDhH2ETEIgQH        1       22      0                                       1                                       
E5rn5oEz5ZsmDeCTOYR5gX                  CQemC5vbYM2KsJftymuFhLrGDhxtAVNT        1       23      0                                       1                                       
eaRycUBVq8CpQcljX                       JQWpIDRpigYjTocMAl39CnQ6PoZyJW2M        1       24      0                                       1                                       
7bXUu3uiEt                              toNgcZXyA0FZR5NdmRcBl1QV5QUYf6r1        1       25      0                                       1                                       
VnHOP3xNnglCoaG6zgg6uHNlNcjG4           pYj9CylCaViZE1XnqVQ3P1BtI3rxOz15        1       26      0                                       1                                       
JsG698iB6j7moxueMKnlGbNfIJD8BE6         d44GMawM2v5B339jYveaSMxL3YAhdbQh        1       27      0                                       1                                       
5                                       lnS1cVQUSXLa5yQYgT91YpMKGUjkdyeg        1       28      0                                       1                                       
